Mol_Weight	AlogP	PSA	HBA	HBD	QED_Weighted	Arom_Rings	Mol_Species	Smiles
297.34	-0.04	122.21	8	4	0.59	2	3	NC1=Nc2c(ncn2[C@H]3C[C@H](CO)[C@@H](CO)O3)C(=S)N1
274.41	3.6	19.62	3	0	0.69	2	1	CN(C)CCCCCN(C)Cc1oc2ccccc2c1
241.31	1.68	83.55	4	3	0.52	1	0	NC(CCCSc1ccccc1O)C(=O)O
204.27	2.24	51.04	2	2	0.81	2	1	COc1ccc2[nH]cc(C(C)CN)c2c1
255.66	1.9	77.62	4	0	0.47	1	3	[O-][N+](=O)\N=C\1/OCCC1Cc2ccc(Cl)nc2
293.19	3.85	24.39	3	1	0.85	2	1	Brc1c(sc2ccccc12)C3NC=NC=C3
297.29	3.56	59.31	3	1	0.79	3	3	CC(=O)Nc1ccc2OC(=CC(=O)c2c1)c3ccccc3F
299.33	1.74	80.32	4	2	0.82	2	3	CCOc1ccc(NC(=O)C(=O)NCc2ccncc2)cc1
242.3	1.76	89.31	5	2	0.48	1	3	CCc1oc(cc1CSC(=N)N)C(=O)OC
239.7	0.1	63.6	3	1	0.51	0	2	[Cl-].CC(=O)OC(CC(=O)O)C[N+](C)(C)C
222.29	-0.53	64.52	4	4	0.55	1	1	OC1CNC(CNCc2ccccc2)C1O
263.26	0.73	113.02	6	3	0.75	2	2	CCc1cc(OC)c(O)c(c1)C(=O)Nc2nn[nH]n2
223.24	1.49	48.53	5	0	0.45	3	3	C1c2cncn2c3ccccc3c4ncnn14
287.34	3.45	56.27	6	1	0.8	3	3	COc1ccc(Nc2ncnc3sccc23)cc1OC
240.33	1.53	50.63	4	1	0.35	1	3	CCC(C)C(C)OC[n+]1ccn(C)c1\C=N\O
294.2	3.03	63.32	3	2	0.79	1	0	NC(CCSCc1ccc(Cl)c(Cl)c1)C(=O)O
254.24	1.66	74.6	4	2	0.69	2	3	OCc1ccc2C(=O)c3ccccc3C(=O)c2c1O
276.41	2.82	40.85	3	1	0.39	1	0	CC1CCN(CC1)\C(=N\N=C(/C)\c2ccccn2)\S
220.23	0.84	84.38	4	2	0.58	2	3	Cn1c(CN(O)C(=O)N)nc2ccccc12
271.71	3.76	51.81	4	0	0.71	3	3	Cc1ccc(c(Cl)c1)c2onc(n2)c3ccncc3
266.32	0.97	60.66	6	0	0.59	1	3	COC(=O)C1=CC(=O)N(CC=C)\C(=N\CC=C)\S1
271.32	2.2	64.34	6	1	0.79	3	3	CCc1nc(C)c2c(NC)nc3ccc(OC)nc3n12
248.33	1.31	52.57	3	2	0.83	1	3	CC(C)[C@@H]1N(C)c2ccccc2[C@@H](CO)NC1=O
264.45	4.64	20.23	1	1	0.73	0	3	CC1(C)CCC[C@]2(C)[C@@H](CCCCO)[C@H]3CC[C@@H]2[C@@H]13
282.3	3.44	67.51	3	1	0.73	3	2	C[C@@H](C(=O)O)c1cccc2C(=O)c3cccc(C)c3Oc12
278.4	2.58	51.1	3	1	0.87	1	3	CC(C)CC(CC(C)C)NC(=O)C1=CC(=O)N(C)C=C1
244.68	3.38	38.05	3	1	0.71	3	2	Oc1nc2cc(Cl)ccc2n1c3ccccc3
264.41	3.66	34.03	3	1	0.82	1	3	CC(C)CCNC1=CC(=O)N(CCC(C)C)C(=C1)C
217.31	2.74	20.31	2	0	0.73	1	1	CN1CCCCC1CC(=O)c2ccccc2
247.12	3.55	36.36	3	1	0.65	1	2	CC(N(O)c1ncc(Cl)cc1Cl)C(=C)C
275.35	2.66	64.93	4	2	0.81	1	2	CCCN1CCC(=NNc2ccc(cc2)C(=O)O)CC1
219.18	2.97	26.02	1	1	0.76	1	3	NC\C(=C\F)\c1cccc(c1)C(F)(F)F
226.23	1.06	79.15	5	3	0.62	1	3	COc1cc2[C@H](O)[C@@H](C)OCc2c(O)c1O
238.43	1.03	6.48	2	2	0.48	0	2	SC(=S)N1CCN(CC1)C(=S)S
299.12	1.39	70.99	5	1	0.81	2	2	Clc1ccc(cc1Cl)N2CCN3C(=O)C(=O)NN=C23
231.25	2.5	62.46	3	2	0.83	2	2	Cc1ccc(C)n1c2ccc(O)c(c2)C(=O)O
261.71	3.45	33.45	2	0	0.83	2	3	Clc1ccccc1c2oc(cc2)C(=O)N3CCC3
204.23	1.82	43.6	4	0	0.7	2	3	CCOC(=O)c1cn2ccc(C)cc2n1
258.28	2.4	71.45	4	2	0.86	2	2	COc1cccc(CNc2ccc(nc2)C(=O)O)c1
289.38	1.85	75.35	6	1	0.86	1	3	Nc1nc(N2CCCCC2)c(C=O)c(n1)N3CCCCC3
253.34	3.64	22.12	2	0	0.83	2	3	CCOC1CCc2cc(ccc2C1)c3cccnc3
256.42	3.5	17.3	5	0	0.78	2	3	CSc1c(SC)c2cnccn2c1SC
244.29	2.67	44.12	4	0	0.78	2	3	CCOC(=O)c1cncn1C(C)c2ccccc2
261.34	3.76	35.25	2	1	0.82	1	3	Nc1ccc(OC23CC4CC(CC(C4)C2)C3)cc1F
252.32	3.53	26.53	3	0	0.71	3	3	Cc1nc2c(OCc3ccccc3)cccn2c1C
269.37	3.99	33.12	3	1	0.76	3	3	Cc1ccc(C(O)c2nc3ccccc3s2)c(C)c1
264.09	1.74	55.97	5	0	0.62	3	3	Cc1nc2cc(Br)ccc2n3nnnc13
237.22	-0.3	121.52	4	4	0.25	1	2	NNC(=O)CC(=O)Nc1ccccc1C(=O)O
271.71	3.06	55.63	5	1	0.8	3	3	Clc1ccccc1Nc2ncnc(n2)n3cccc3
219.24	-3.12	104.39	6	5	0.32	0	3	C[C@@H]1[C@@H](O)[C@H](O)[C@@H]2[C@H](O)[C@H](O)[C@@H](CO)N12
276.34	2.78	33.95	4	0	0.72	3	3	C(N1Cc2ccccc2n3nncc3C1)c4ccccc4
285.37	3.78	38.25	5	0	0.73	3	3	COc1ccc(cc1)N(C)c2ncnc3c(C)csc23
273.34	1.47	71.84	4	2	0.87	2	3	CC(Cn1cccn1)NC(=O)NCc2ccc(C)nc2
273.52	3.28	38.92	3	0	0.79	2	3	Clc1ccc(cc1)c2noc(CBr)n2
275.69	2.2	74.58	4	2	0.67	2	3	Oc1cc(Cl)ccc1\C=N\NC(=O)c2ccncc2
299.29	1.87	115.33	4	2	0.65	2	3	NC(=O)c1ccc(cc1NC(=O)Cc2ccccc2)[N+](=O)[O-]
200.26	0.7	66.24	5	3	0.5	1	0	Cc1nc(S)nc(O)c1CCCO
290.32	1.68	85.94	5	3	0.73	2	1	CN(C)Cc1ccc(C(=O)NCc2occc2)c(O)c1O
268.32	2.18	51.22	3	1	0.93	2	3	Cc1ccc(CC(=O)NC2COc3ncccc23)cc1
226.23	0.89	75.99	5	2	0.75	1	3	COc1cc(OC)c(C(=O)CO)c(O)c1C
268.43	4.29	31.58	3	2	0.55	2	3	S=C1NC(=S)c2c3CCCCCc3sc2N1
284.34	3.59	55.99	5	0	0.69	3	3	CCc1noc(n1)c2ccc(s2)C(=O)c3ccccc3
280.27	2.69	58.53	4	1	0.85	1	2	CC1(C)CC(=O)C(=NNc2c(F)cccc2F)C(=O)C1
267.35	1.23	65.88	4	3	0.32	1	3	COCCNC(=S)N\N=C(/C)\c1ccccc1O
270.25	3.91	96.96	4	1	0.52	2	3	[O-][N+](=O)c1ccc(cc1)\N=N\C(=O)Nc2ccccc2
213.22	-0.21	84.54	5	1	0.25	1	3	CC(Cn1cc[n+](C)c1\C=N\O)[N+](=O)[O-]
239.32	3.27	29.96	2	0	0.79	1	3	CC1(C)[C@@H]2C[C@H]1C(=CC2=O)\C=C\c3ccncc3
291.33	1.02	85.47	4	1	0.39	2	3	C\C(=N\NS(=O)(=O)c1ccccc1)\c2cccc[n+]2[O-]
297.36	2.63	66.32	4	1	0.94	2	2	OC(=O)c1cccc(CC2CCN(CC2)c3ncccn3)c1
247.25	-0.78	89.74	7	2	0.62	0	3	CCOC(OCC)C1=NO[C@H]2[C@H](O)C(O)O[C@@H]12
274.3	1.56	71.44	4	1	0.73	2	3	OCc1ccc2C(=O)c3ccccc3S(=O)(=O)c2c1
290.34	3.38	41.18	1	1	0.75	3	2	OC(=O)C[n+]1ccc(\C=C\c2cccc3ccccc23)cc1
269.75	3.57	31.35	4	0	0.8	2	3	COc1cccc(c1OC)c2nc(CCl)cs2
269.73	4.22	22.12	2	0	0.81	2	3	Clc1ccc2OCC(=Cc2c1)\C=C\c3cccnc3
293.32	-0.74	121.52	4	4	0.53	1	2	C[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)O
209.68	2.56	29.1	1	1	0.76	1	3	Cc1ccc(C(=O)NCC=C)c(Cl)c1
216.31	1.34	76.17	4	2	0.42	0	3	CCCC1CC(CSC(=N)N)OC1=O
220.28	3.61	25.78	2	0	0.63	3	3	Cc1ccc2ncc(nc2c1)c3ccccc3
289.31	1.98	67.01	3	2	0.9	2	3	Fc1ccc(cc1)c2cc(n[nH]2)C(=O)NCC3CCOC3
233.18	0.78	101.34	4	2	0.34	1	3	[O-][N+](=O)c1cccc(\C=C\2/NC(=O)NC2=O)c1
221.26	2.88	51.8	3	1	0.69	3	3	Nc1nccc(n1)c2ccc3ccccc3c2
283.31	2.48	50.78	4	1	0.74	3	1	CN1C(=N)N(CC(=O)c2ccc(F)cc2)c3ccccc13
226.28	2.39	36.1	1	1	0.74	2	3	O=C1CCC2N1CCc3c2[nH]c4ccccc34
261.32	2.75	55.4	3	1	0.67	1	3	CC(=CC(=O)OCC(=O)Nc1cc(C)cc(C)c1)C
295.45	1.89	67.15	4	4	0.55	1	3	CCC(C)[C@H](NC[C@@H](N)CS)C(=O)Nc1ccccc1
241.38	3.8	3.24	1	0	0.76	1	1	C1CCN(CC1)[C@]2(CC[C@@H]3C[C@H]23)c4ccccc4
228.29	3.19	29.46	2	1	0.87	2	3	COc1cccc(CCc2ccc(O)cc2)c1
260.43	0.49	48.12	2	4	0.54	0	3	CNC(=S)NC1CCCCC1NC(=S)NC
291.82	2.51	37.38	3	0	0.63	1	3	CSc1ccc2C(CCl)CN(c2c1)S(=O)(=O)C
253.26	1.28	76.46	5	1	0.71	3	2	O=C(c1ccccc1)c2ccn(Cc3nn[nH]n3)c2
278.36	3.12	53.07	3	2	0.56	3	3	CCN\N=C(/Cc1nc2ccccc2[nH]1)\c3ccccc3
231.04	2.35	66.24	4	2	0.73	2	2	Oc1nc2cc(Cl)c(Cl)cc2nc1O
231.23	2.56	50.19	2	1	0.82	2	2	OC(=O)c1c2CCCc2nc3ccc(F)cc13
228.34	2.79	61.69	3	2	0.34	0	3	CCCCCCCCCN\N=C(/C)\C(=O)O
297.31	1.82	72.27	5	0	0.79	2	3	CC(N1C(=O)c2ccccc2C1=O)C(=O)n3cc(C)nc3C
233.27	3.34	30.19	3	0	0.47	4	3	Cc1nn2c3ccccc3nc2c4ccccc14
240.35	2.93	15.27	2	1	0.75	1	1	C[C@H]1CN(C)[C@@H]2C[C@@H]3CNc4cccc(C2=C1)c34
289.36	3.19	55.4	4	1	0.86	1	3	O=C1NC(=O)\C(=C\c2ccc(OCC3CCC3)cc2)\S1
249.36	3.33	29.43	4	0	0.71	1	3	CSC1=N\C(=C/c2ccccc2C)\C(=O)S1
218.26	1.47	49.41	2	1	0.76	1	3	CCC1(NC(=O)N(C)C1=O)c2ccccc2
247.3	2.17	78.01	3	3	0.42	2	3	ONC(=O)CCCCCc1nc2ccccc2[nH]1
296.33	1.67	109.27	5	2	0.35	1	3	C\C(=N\[C@H]1[C@H](O)C(C)(C)C(=O)c2ccc(cc12)C#N)\NC#N
221.75	1.61	32.26	3	2	0.75	1	3	Cl.CC(C)(CO)NCc1cccs1
289.72	3.12	47.56	3	1	0.92	2	3	Clc1cccc(NC(=O)C2COc3ccccc3O2)c1
281.24	2.93	68.01	3	2	0.89	2	3	Nc1ccc(nc1)C(=O)Nc2ccc(cc2)C(F)(F)F
275.42	3	29.85	4	1	0.91	2	3	CC(Cn1ccnc1)NCc2csc3CCCCc23
268.27	2.88	63.6	4	1	0.69	2	3	Oc1cccc(c1)C(=O)CC2OC(=O)c3ccccc23
270.28	2.8	71.44	3	1	0.86	1	2	C\C(=C/CC1=C(C)C(=O)c2ccccc2C1=O)\C(=O)O
269.34	2.92	30.49	3	1	0.93	2	1	COc1cc2CCNCc2cc1OCc3ccccc3
239.26	1.61	88.29	6	2	0.62	2	3	OCCNc1nc2ccc(cc2s1)[N+](=O)[O-]
231.25	1.81	59.64	5	1	0.5	2	3	Cn1ccnc1COc2ccc(\C=N\O)cc2
237.35	3.39	37.81	5	1	0.83	2	3	CCSc1nnc(Nc2ccccc2)s1
